Park Unit,Total Recreation Visits,Total Visitor Spending ($2022),Jobs,Economic Output ($2022)
"Martin Van Buren NHSa,b",11702,"$553,000",7,"$742,000"
Mary McLeod Bethune Council House NHSc,1995,"$43,000",1,"$65,000"
Medgar and Myrlie Evers Home NM,11231,"$741,000",11,"$1,049,000"
Mesa Verde NPa,499790,"$58,031,000",762,"$73,794,000"
Minidoka (Idaho) NHS,4971,"$98,000",1,"$106,000"
Minidoka (Washington) NHS,8746,"$577,000",7,"$670,000"
Minute Man NHP,960343,"$63,413,000",796,"$96,768,000"
Minuteman Missile NHSa,105776,"$8,924,000",120,"$11,581,000"
Mississippi NRRA,303882,"$15,173,000",200,"$22,101,000"
Missouri NRR,133162,"$6,650,000",86,"$8,103,000"
Mojave NPRES,773463,"$51,030,000",598,"$66,827,000"
Monocacy NBa,127111,"$4,865,000",61,"$6,164,000"
Montezuma Castle NM,364014,"$24,037,000",327,"$36,711,000"
Moores Creek NB,53681,"$3,904,000",52,"$4,846,000"
"Morristown NHPa,b",245231,"$5,298,000",47,"$6,387,000"
Mount Rainier NPa,1622395,"$67,234,000",687,"$87,612,000"
"Mount Rushmore NMEMa,b",2440449,"$385,563,000",5694,"$551,293,000"
Muir Woods NMa,798625,"$98,253,000",910,"$138,003,000"
Natchez NHP,64691,"$4,272,000",59,"$5,484,000"
"Natchez Trace PKWYa,b",6543533,"$474,052,000",5659,"$640,352,000"
"National Capital Parks Centrala,b",920643,"$88,584,000",1186,"$137,836,000"
National Capital Parks East,1267873,"$27,017,000",348,"$41,979,000"
National Park of American Samoac,1887,"$125,000",1,"$161,000"
Natural Bridges NM,71249,"$5,028,000",58,"$5,797,000"
Navajo NM,41118,"$2,899,000",34,"$3,324,000"
New Bedford Whaling NHPa,13570,"$810,000",11,"$1,297,000"
New Orleans Jazz NHP,37410,"$2,470,000",34,"$3,470,000"
New River Gorge NR,1593523,"$79,328,000",1044,"$96,080,000"
Nez Perce NHP,344517,"$22,749,000",288,"$29,683,000"
Nicodemus NHSa,5307,"$333,000",4,"$328,000"
Ninety Six NHS,108082,"$7,137,000",101,"$9,649,000"
"Niobrara NSRa,b",80071,"$8,021,000",111,"$9,378,000"
Noatak NPRES,18393,"$30,365,000",426,"$45,440,000"
North Cascades NPc,30154,"$1,639,000",15,"$1,955,000"
Obed W&SRa,306502,"$6,462,000",68,"$6,723,000"
Ocmulgee NM,155242,"$10,252,000",155,"$12,964,000"
Olympic NP,2432972,"$227,620,000",2453,"$320,238,000"
Oregon Caves NM,72923,"$6,763,000",93,"$9,112,000"
Organ Pipe Cactus NM,133317,"$8,630,000",112,"$12,712,000"
Ozark NSR,1291305,"$63,776,000",873,"$73,310,000"
Padre Island NS,531624,"$26,152,000",356,"$31,620,000"
Palo Alto Battlefield NHP,196252,"$12,959,000",196,"$17,145,000"
Paterson Great Falls NHP,248293,"$16,396,000",200,"$23,451,000"
Pea Ridge NMP,81992,"$5,414,000",81,"$7,493,000"
Pearl Harbor NMEM,1545582,"$294,598,000",3177,"$435,118,000"
Pecos NHP,49683,"$3,281,000",45,"$4,383,000"
Pennsylvania Avenue NHSc,56928,"$1,213,000",15,"$1,859,000"
Perry's Victory & International Peace MEMa,90988,"$9,034,000",145,"$15,256,000"
Petersburg NB,180907,"$11,946,000",174,"$17,512,000"
Petrified Forest NP,505209,"$36,752,000",434,"$42,065,000"
